ts,cnt,hr,workingday,holiday,temp_c,hum_pct,wind,weathersit,season,lag_1,lag_24,lag_168,precip,morning_rush,evening_rush,split
2011-01-08 00:00:00,25.0,0,0.0,0.0,7.38,51.0,11.0014,2.0,1.0,15.0,17.0,16.0,0.0,0.0,0.0,train
2011-01-08 01:00:00,16.0,1,0.0,0.0,7.38,55.00000000000001,6.0032,2.0,1.0,25.0,7.0,40.0,0.0,0.0,0.0,train
2011-01-08 02:00:00,16.0,2,0.0,0.0,7.38,55.00000000000001,0.0,2.0,1.0,16.0,1.0,32.0,0.0,0.0,0.0,train
2011-01-08 04:00:00,1.0,4,0.0,0.0,7.38,55.00000000000001,11.0014,3.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,train
2011-01-08 05:00:00,5.0,5,0.0,0.0,6.5600000000000005,74.0,11.0014,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,train
2011-01-08 06:00:00,2.0,6,0.0,0.0,6.5600000000000005,74.0,11.0014,2.0,1.0,5.0,34.0,2.0,0.0,0.0,0.0,train
2011-01-08 07:00:00,9.0,7,0.0,0.0,6.5600000000000005,74.0,7.0015,2.0,1.0,2.0,84.0,3.0,0.0,0.0,0.0,train
2011-01-08 08:00:00,15.0,8,0.0,0.0,6.5600000000000005,93.0,7.0015,3.0,1.0,9.0,210.0,8.0,1.0,0.0,0.0,train
2011-01-08 09:00:00,20.0,9,0.0,0.0,6.5600000000000005,93.0,7.0015,3.0,1.0,15.0,134.0,14.0,1.0,0.0,0.0,train
2011-01-08 10:00:00,61.0,10,0.0,0.0,7.38,80.0,11.0014,2.0,1.0,20.0,63.0,36.0,0.0,0.0,0.0,train
2011-01-08 11:00:00,62.0,11,0.0,0.0,8.200000000000001,69.0,26.0027,2.0,1.0,61.0,67.0,56.0,0.0,0.0,0.0,train
2011-01-08 12:00:00,98.0,12,0.0,0.0,8.200000000000001,59.0,23.9994,2.0,1.0,62.0,59.0,84.0,0.0,0.0,0.0,train
2011-01-08 13:00:00,102.0,13,0.0,0.0,8.200000000000001,44.0,22.0028,1.0,1.0,98.0,73.0,94.0,0.0,0.0,0.0,train
2011-01-08 14:00:00,95.0,14,0.0,0.0,8.200000000000001,32.0,32.9975,1.0,1.0,102.0,50.0,106.0,0.0,0.0,0.0,train
2011-01-08 15:00:00,74.0,15,0.0,0.0,8.200000000000001,32.0,30.002599999999997,1.0,1.0,95.0,72.0,110.0,0.0,0.0,0.0,train
2011-01-08 16:00:00,76.0,16,0.0,0.0,7.38,28.999999999999996,30.002599999999997,1.0,1.0,74.0,87.0,93.0,0.0,0.0,0.0,train
2011-01-08 17:00:00,69.0,17,0.0,0.0,6.5600000000000005,37.0,36.9974,1.0,1.0,76.0,187.0,67.0,0.0,0.0,0.0,train
2011-01-08 18:00:00,55.0,18,0.0,0.0,5.74,39.0,19.999499999999998,1.0,1.0,69.0,123.0,35.0,0.0,0.0,0.0,train
2011-01-08 19:00:00,30.0,19,0.0,0.0,5.74,36.0,16.997899999999998,1.0,1.0,55.0,95.0,37.0,0.0,0.0,0.0,train
2011-01-08 20:00:00,28.0,20,0.0,0.0,4.92,36.0,16.997899999999998,1.0,1.0,30.0,51.0,36.0,0.0,0.0,0.0,train
2011-01-08 21:00:00,37.0,21,0.0,0.0,4.92,39.0,23.9994,1.0,1.0,28.0,39.0,34.0,0.0,0.0,0.0,train
2011-01-08 22:00:00,34.0,22,0.0,0.0,4.92,36.0,26.0027,1.0,1.0,37.0,36.0,28.0,0.0,0.0,0.0,train
2011-01-08 23:00:00,22.0,23,0.0,0.0,4.1000000000000005,39.0,30.002599999999997,1.0,1.0,34.0,15.0,39.0,0.0,0.0,0.0,train
2011-01-09 00:00:00,25.0,0,0.0,0.0,4.1000000000000005,42.0,26.0027,1.0,1.0,22.0,25.0,17.0,0.0,0.0,0.0,train
2011-01-09 01:00:00,12.0,1,0.0,0.0,4.1000000000000005,42.0,31.0009,1.0,1.0,25.0,16.0,17.0,0.0,0.0,0.0,train
2011-01-09 02:00:00,11.0,2,0.0,0.0,4.1000000000000005,46.0,31.0009,1.0,1.0,12.0,16.0,9.0,0.0,0.0,0.0,train
2011-01-09 03:00:00,4.0,3,0.0,0.0,4.1000000000000005,46.0,27.999299999999998,1.0,1.0,11.0,7.0,6.0,0.0,0.0,0.0,train
2011-01-09 04:00:00,1.0,4,0.0,0.0,3.2800000000000002,53.0,12.998000000000001,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,train
2011-01-09 06:00:00,1.0,6,0.0,0.0,4.1000000000000005,49.0,19.0012,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,train
2011-01-09 07:00:00,6.0,7,0.0,0.0,3.2800000000000002,53.0,12.998000000000001,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,train
2011-01-09 08:00:00,10.0,8,0.0,0.0,4.1000000000000005,49.0,19.0012,1.0,1.0,6.0,15.0,8.0,0.0,0.0,0.0,train
2011-01-09 09:00:00,19.0,9,0.0,0.0,4.92,46.0,35.0008,1.0,1.0,10.0,20.0,20.0,0.0,0.0,0.0,train
2011-01-09 10:00:00,49.0,10,0.0,0.0,5.74,43.0,26.0027,1.0,1.0,19.0,61.0,53.0,0.0,0.0,0.0,train
2011-01-09 11:00:00,49.0,11,0.0,0.0,6.5600000000000005,40.0,35.0008,1.0,1.0,49.0,62.0,70.0,0.0,0.0,0.0,train
2011-01-09 12:00:00,83.0,12,0.0,0.0,7.38,37.0,30.002599999999997,1.0,1.0,49.0,98.0,93.0,0.0,0.0,0.0,train
2011-01-09 13:00:00,75.0,13,0.0,0.0,8.200000000000001,34.0,30.002599999999997,1.0,1.0,83.0,102.0,75.0,0.0,0.0,0.0,train
2011-01-09 14:00:00,72.0,14,0.0,0.0,9.02,32.0,31.0009,1.0,1.0,75.0,95.0,59.0,0.0,0.0,0.0,train
2011-01-09 15:00:00,82.0,15,0.0,0.0,9.02,35.0,23.9994,1.0,1.0,72.0,74.0,74.0,0.0,0.0,0.0,train
