row,split
0,val
1,train
2,train
3,train
4,train
5,train
6,test
7,train
8,train
9,val
10,train
11,train
12,val
13,val
14,val
15,test
16,train
17,train
18,test
19,train
20,train
21,train
22,test
23,train
24,train
25,train
26,train
27,train
28,test
29,train
30,train
31,train
32,train
33,test
34,test
35,test
36,test
37,test
38,val
39,train
40,train
41,val
42,test
43,val
44,test
45,train
46,train
47,val
48,val
49,test
50,train
51,val
52,test
53,train
54,val
55,train
56,test
57,train
58,train
59,test
60,train
61,train
62,test
63,test
64,val
65,test
66,val
67,train
68,train
69,val
70,val
71,train
72,test
73,val
74,train
75,train
76,train
77,train
78,test
79,test
80,train
81,train
82,train
83,train
84,val
85,val
86,train
87,train
88,val
89,train
90,train
91,train
92,test
93,test
94,train
95,train
96,train
97,train
98,test
99,train
100,train
101,train
102,val
103,test
104,test
105,train
106,train
107,test
108,train
109,val
110,train
111,train
112,train
113,train
114,train
115,test
116,train
117,val
118,val
119,train
120,train
121,train
122,val
123,train
124,train
125,test
126,val
127,test
128,train
129,test
130,train
131,val
132,train
133,val
134,train
135,train
136,train
137,train
138,train
139,test
140,train
141,train
142,test
143,val
144,val
145,train
146,test
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,val
158,train
159,val
160,train
161,val
162,val
163,train
164,train
165,test
166,train
167,val
168,val
169,test
170,train
171,val
172,test
173,train
174,train
175,train
176,train
177,val
178,val
179,val
180,train
181,train
182,train
183,train
184,test
185,train
186,train
187,test
188,train
189,train
190,train
191,train
192,train
193,train
194,test
195,test
196,val
197,train
198,train
199,val
200,val
201,test
202,val
203,train
204,val
205,train
206,val
207,train
208,train
209,val
210,test
211,train
212,train
213,train
214,test
215,train
216,train
217,train
218,train
219,test
220,train
221,train
222,train
223,train
224,train
225,train
226,val
227,train
228,val
229,train
230,val
231,train
232,train
233,val
234,test
235,train
236,train
237,train
238,test
239,val
240,val
241,train
242,test
243,train
244,train
245,test
246,test
247,train
248,train
249,train
250,train
251,train
252,train
253,train
254,test
255,train
256,train
257,train
258,train
259,val
260,train
261,val
262,train
263,train
264,test
265,train
266,val
267,train
268,train
269,train
270,val
271,train
272,val
273,train
274,train
275,train
276,val
277,test
278,train
279,test
280,val
281,train
282,train
283,train
284,train
285,train
286,test
287,val
288,test
289,train
290,test
291,test
292,test
293,val
294,train
295,train
296,val
297,test
298,train
299,train
300,train
301,val
302,train
303,train
304,train
305,train
306,val
307,val
308,train
309,test
310,train
311,train
312,train
313,train
314,train
315,train
316,train
317,train
318,test
319,train
320,val
321,train
322,val
323,train
324,train
325,val
326,train
327,test
328,train
329,test
330,train
331,train
332,test
333,train
334,train
335,test
336,train
337,test
338,val
339,train
340,val
341,val
342,test
343,train
344,train
345,train
346,test
347,train
348,test
349,train
350,val
351,test
352,test
353,train
354,test
355,train
356,train
357,val
358,test
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,val
367,train
368,val
369,train
370,test
371,train
372,train
373,train
374,train
375,train
376,test
377,val
378,train
379,train
380,test
381,val
382,val
383,val
384,val
385,train
386,train
387,train
388,train
389,train
390,train
391,test
392,val
393,train
394,train
395,test
396,val
397,val
398,val
399,test
400,test
401,train
402,train
403,train
404,train
405,val
406,test
407,train
408,test
409,train
410,train
411,train
412,test
413,test
414,test
415,test
416,train
417,train
418,train
419,train
420,val
421,train
422,train
423,train
424,val
425,val
426,val
427,train
428,test
429,train
430,test
431,train
432,val
433,test
434,test
435,train
436,train
437,val
438,val
439,test
440,train
441,val
442,train
443,train
444,train
445,train
446,train
447,val
448,val
449,val
450,val
451,val
452,test
453,train
454,val
455,train
456,val
457,train
458,train
459,train
460,train
461,train
462,val
463,train
464,val
465,test
466,train
467,test
468,val
469,test
470,val
471,train
472,val
473,train
474,val
475,val
476,train
477,test
478,test
479,train
480,train
481,train
482,test
483,train
484,val
485,test
486,train
487,train
488,train
489,train
490,test
491,train
492,val
493,train
494,train
495,val
496,train
497,train
498,val
499,test
500,train
501,train
502,val
503,val
504,train
505,test
506,train
507,test
508,train
509,train
510,train
511,test
512,test
513,val
514,test
515,val
516,train
517,train
518,train
519,train
520,train
521,train
522,val
523,test
524,val
525,train
526,train
527,train
528,train
529,train
530,train
531,test
532,val
533,train
534,train
535,train
536,train
537,train
538,test
539,train
540,test
541,train
542,train
543,train
544,train
545,train
546,test
547,train
548,test
549,test
550,test
551,train
552,test
553,train
554,test
555,train
556,train
557,train
558,val
559,val
560,train
561,val
562,val
563,train
564,val
565,train
566,val
567,val
568,train
569,train
570,train
571,test
572,train
573,train
574,val
575,val
576,train
577,val
578,val
579,val
580,train
581,train
582,test
583,val
584,train
585,val
586,train
587,test
588,train
589,test
590,train
591,test
592,train
593,train
594,test
595,train
596,train
597,test
598,train
599,train
600,test
601,test
602,train
603,val
604,test
605,test
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,val
614,test
615,train
616,test
617,test
618,train
619,test
620,test
621,train
622,train
623,train
624,train
625,val
626,train
627,train
628,train
629,train
630,train
631,train
632,test
633,train
634,train
635,test
636,val
637,val
638,test
639,train
640,train
641,val
642,train
643,train
644,val
645,train
646,train
647,val
648,test
649,train
650,val
651,train
652,test
653,test
654,train
655,train
656,train
657,val
658,train
659,train
660,val
661,train
662,train
663,train
664,test
665,test
666,train
667,val
668,train
669,train
670,train
671,val
672,train
673,val
674,train
675,test
676,train
677,train
678,train
679,train
680,val
681,test
682,test
683,train
684,test
685,train
686,train
687,val
688,train
689,train
690,train
691,train
692,test
693,test
694,train
695,test
696,train
697,train
698,test
699,train
700,test
701,test
702,test
703,train
704,train
705,train
706,train
707,val
708,val
709,train
710,test
711,train
712,train
713,train
714,train
715,val
716,val
717,train
718,train
719,train
720,train
721,train
722,train
723,val
724,train
725,val
726,train
727,train
728,train
729,test
730,train
731,train
732,train
733,test
734,val
735,val
736,val
737,val
738,train
739,test
740,test
741,train
742,train
743,val
744,train
745,val
746,val
747,train
748,train
749,test
750,train
751,val
752,train
753,train
754,train
755,val
756,train
757,train
758,train
759,train
760,val
761,val
762,train
763,train
764,train
