booking_date,arrival_date,lead_time,adr,stays_in_weekend_nights,stays_in_week_nights,is_canceled,lead_bin,season,agent_group,guests_bin,weekend_bin,market_segment,customer_type
2014-07-24,2015-07-01,342,0.0,0,0,0,181d+,summer,none,2,none,Direct,Transient
2013-06-24,2015-07-01,737,0.0,0,0,0,181d+,summer,none,2,none,Direct,Transient
2015-06-24,2015-07-01,7,75.0,0,1,0,0-7d,summer,none,0-1,none,Direct,Transient
2015-06-18,2015-07-01,13,75.0,0,1,0,8-30d,summer,other,0-1,none,Corporate,Transient
2015-06-17,2015-07-01,14,98.0,0,2,0,8-30d,summer,240,2,none,Online TA,Transient
2015-06-17,2015-07-01,14,98.0,0,2,0,8-30d,summer,240,2,none,Online TA,Transient
2015-07-01,2015-07-01,0,107.0,0,2,0,0-7d,summer,none,2,none,Direct,Transient
2015-06-22,2015-07-01,9,103.0,0,2,0,8-30d,summer,other,2,none,Direct,Transient
2015-04-07,2015-07-01,85,82.0,0,3,1,31-90d,summer,240,2,none,Online TA,Transient
2015-04-17,2015-07-01,75,105.5,0,3,1,31-90d,summer,other,2,none,Offline TA/TO,Transient
2015-06-08,2015-07-01,23,123.0,0,4,1,8-30d,summer,240,2,none,Online TA,Transient
2015-05-27,2015-07-01,35,145.0,0,4,0,31-90d,summer,240,2,none,Online TA,Transient
2015-04-24,2015-07-01,68,97.0,0,4,0,31-90d,summer,240,2,none,Online TA,Transient
2015-06-13,2015-07-01,18,154.77,0,4,0,8-30d,summer,241,3,none,Online TA,Transient
2015-05-25,2015-07-01,37,94.71,0,4,0,31-90d,summer,241,2,none,Online TA,Transient
2015-04-24,2015-07-01,68,97.0,0,4,0,31-90d,summer,240,2,none,Online TA,Transient
2015-05-25,2015-07-01,37,97.5,0,4,0,31-90d,summer,8,2,none,Offline TA/TO,Contract
2015-06-19,2015-07-01,12,88.2,0,1,0,8-30d,summer,240,2,none,Online TA,Transient
2015-07-01,2015-07-01,0,107.42,0,1,0,0-7d,summer,none,2,none,Corporate,Transient
2015-06-24,2015-07-01,7,153.0,0,4,0,0-7d,summer,250,2,none,Direct,Transient
2015-05-25,2015-07-01,37,97.29,1,4,0,31-90d,summer,241,0-1,up to half,Online TA,Transient
2015-04-20,2015-07-01,72,84.67,2,4,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-04-20,2015-07-01,72,84.67,2,4,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-04-20,2015-07-01,72,99.67,2,4,0,31-90d,summer,250,2,up to half,Direct,Transient
2015-02-24,2015-07-01,127,94.95,2,5,0,91-180d,summer,115,2,up to half,Offline TA/TO,Contract
2015-04-14,2015-07-01,78,63.6,2,5,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
2015-05-14,2015-07-01,48,79.5,2,5,0,31-90d,summer,8,2,up to half,Offline TA/TO,Contract
2015-05-02,2015-07-01,60,107.0,2,5,1,31-90d,summer,240,2,up to half,Online TA,Transient
2015-04-15,2015-07-01,77,94.0,2,5,0,31-90d,summer,240,2,up to half,Online TA,Transient
2015-03-24,2015-07-01,99,87.3,2,5,0,91-180d,summer,240,2,up to half,Online TA,Transient
2015-03-05,2015-07-01,118,62.0,4,10,0,91-180d,summer,none,0-1,up to half,Direct,Transient
2015-03-28,2015-07-01,95,63.86,4,11,0,91-180d,summer,241,2,up to half,Offline TA/TO,Transient
2015-03-27,2015-07-01,96,108.3,2,8,1,91-180d,summer,none,2,up to half,Direct,Transient
2015-04-24,2015-07-02,69,65.5,2,4,0,31-90d,summer,other,2,up to half,Offline TA/TO,Transient
